eqid	type	name	ヒール回復	ds
92	1	エクスカリバー	10.0	闇属性に物理+15% ATK+5% MDEF+20% ﾋｰﾙ回復+10% 攻撃時、確率で魔法攻撃
93	1	エクスカリバー煌	15.0	闇属性に物理+25% ATK+10% MDEF+20% ﾋｰﾙ回復+15% 攻撃時、確率で魔法攻撃
629	2	世界樹の弓	30.0	万能属性 ATK+6% MP消費-20% ﾋｰﾙ回復+30%
631	2	ユグドボウ	35.0	万能属性 ATK+12% MP消費-25% ﾋｰﾙ回復+35% HP25%以下で被害軽減
641	3	大司教の杖	20.0	MATK+15% ﾋｰﾙ回復+20% MP消費-10% ビショップの場合、更にﾋｰﾙ回復+10%
655	3	スターターロッド	10.0	STR+1 INT+3 無魔法威力+10% ﾋｰﾙ回復+10% 詠唱時間-20% Lv50未満なら経験値+20%
657	3	司教の杖	10.0	MATK+5% ﾋｰﾙ回復+10% MP消費-10%
677	3	枢機卿の杖	22.0	MATK+18% ﾋｰﾙ回復+22% MP消費-13% ビショップの場合、更にﾋｰﾙ回復+13% INT+5
682	3	桜花祈り酒	40.0	ﾋｰﾙ回復+40% MATK+8% 詠唱時間+30% 詠唱防御+10%
699	3	キルリスト	10.0	STR+1 INT+3 無魔法威力+10% ﾋｰﾙ回復+10% 詠唱時間-20% Lv50未満なら経験値+20%
749	3	癒し木の枝	25.0	ﾋｰﾙ回復+25% ｽｷﾙﾃﾞｨﾚｲ-0.5秒
750	3	癒しの杖	30.0	ﾋｰﾙ回復+30% ｽｷﾙﾃﾞｨﾚｲ-1秒
753	3	ヘクサオーラ	10.0	STR+1 INT+3 無魔法威力+10% ﾋｰﾙ回復+10% 詠唱時間-20% Lv50未満なら経験値+20%
754	3	聖天使の杖	25.0	MATK+20% ﾋｰﾙ回復+25% MP消費-15% ビショップの場合、更にﾋｰﾙ回復+20% INT+8
765	3	ケリュケイオンIII	10.0	MATK+16% MP消費-15% 物理耐性+8% ﾋｰﾙ回復+10% ｱｲﾃﾑﾃﾞｨﾚｲ-0.5秒
766	3	ケリュケイオンⅣ	30.0	MATK+19% MP消費-20% 物理耐性+9% ﾋｰﾙ回復+30% ｱｲﾃﾑﾃﾞｨﾚｲ-1秒 ﾌﾞﾚｽ時間+10秒
781	3	マハトラリオⅢ	25.0	MATK+15% ﾋｰﾙ回復+25% 絶対回避+10% ﾍｲﾄ増加-25% 気絶時間-1秒 射程+2 魔法威力がLvに応じて増加
824	3	不死鳥の杖III	10.0	MATK+15% MDEF+11% ﾋｰﾙ回復+10% DEX+15 MP消費-15% 力尽きた時、少しMP回復
825	3	不死鳥の杖Ⅳ	15.0	MATK+22% MDEF+14% ﾋｰﾙ回復+15% DEX+25 MP消費-15% 力尽きた時、少しMP回復
827	3	司祭の杖	10.0	ﾋｰﾙ回復+10% MP消費-10%
848	3	セイントロッド	10.0	光魔法威力+10% ﾋｰﾙ回復+10% 魔法耐性+5% 気絶時間-1秒
849	3	セイントロッドII	35.0	光魔法威力+15% ﾋｰﾙ回復+35% 魔法耐性+15% 気絶時間-1秒 射程+1
850	3	聖者の経典	20.0	光魔法威力+8% MATK+16% MP消費-25% ﾋｰﾙ回復+20% ビショップの場合、ｽｷﾙﾃﾞｨﾚｲ-1.5秒
855	3	サウロステッキG2	10.0	MATK+16% MP消費-10% ｽﾍﾟﾙﾊﾞｰｽﾄ率+3% ﾋｰﾙ回復+10% ｵｰﾄｽｷﾙ発動+3%
856	3	サウロステッキG3	13.0	MATK+18% MP消費-12% ｽﾍﾟﾙﾊﾞｰｽﾄ率+5% ﾋｰﾙ回復+13% ｵｰﾄｽｷﾙ発動+4% 光耐性+5%
857	3	サウロステッキG4	15.0	MATK+21% MP消費-14% ｽﾍﾟﾙﾊﾞｰｽﾄ率+6% ﾋｰﾙ回復+15% ｵｰﾄｽｷﾙ発動+5% 光耐性+5%
871	3	ソルヴァーロッド	15.0	MATK+16% ｽｷﾙﾃﾞｨﾚｲ-1秒 ﾋｰﾙ回復+15% ﾋｰﾙ受け+7% 闇耐性+5%
885	3	サニークリスタル	10.0	STR+1 INT+3 無魔法威力+10% ﾋｰﾙ回復+10% 詠唱時間-20% Lv50未満なら経験値+20%
919	3	ヴェルケ	20.0	MATK+8% 風魔法威力+12% ﾋｰﾙ回復+20% ﾍｲﾄ増加+20% ｵｰﾄｽｷﾙ発動+4% シュタルクSLv+1
962	4	ブリガンテナイフ	10.0	物理威力+100 ﾋｰﾙ回復+10% INTが高いほどｸﾘﾃｨｶﾙﾀﾞﾒｰｼﾞが増加 MP自然回復+25% 魔法耐性-15%
1104	4	プレダートナイフ	12.0	物理威力+200 ﾋｰﾙ回復+12% INTが高いほどｸﾘﾃｨｶﾙﾀﾞﾒｰｼﾞが増加 MP自然回復+25% 魔法耐性-15%
1110	4	ピックピュアリ	20.0	特殊爪 ｽｷﾙﾃﾞｨﾚｲ-1秒 ﾋｰﾙ回復+20% MaxHP+10% DEFがSTRで増加
1111	4	ピックピュアリII	23.0	特殊爪 ｽｷﾙﾃﾞｨﾚｲ-1.2秒 ﾋｰﾙ回復+23% STR+5 MaxHP+15% DEFがSTRで増加
1112	4	ピックピュアリIII	30.0	特殊爪 ATK・MATK+10% ﾃﾞｨﾚｲ-1.2秒 ﾋｰﾙ回復+30% STR+15 MaxHP+20% DEFがSTRで増加
1153	4	ヴォラールナイフ	12.0	物理威力+750 ﾋｰﾙ回復+12% CRT+15 INTが高いほどｸﾘﾃｨｶﾙﾀﾞﾒｰｼﾞが増加 魔法耐性-15% MP自然回復+25%
1382	6	クレリックローブ	10.0	MATK+5% ﾋｰﾙ回復+10% ｽｷﾙﾃﾞｨﾚｲ-0.5秒 防御時、確率で魔法反撃
1536	6	パルルの軍服(再強化版)	15.0	ATK+8% MATK+12% ﾋｰﾙ回復+15% ASPD+20% 詠唱時間-20% ﾀﾞﾒｰｼﾞ反射+5% 防御時、確率でHP回復
1537	6	パルルの軍服(再々強化版)	25.0	ATK+15% MATK+17% ﾋｰﾙ回復+25% ASPD+40% 詠唱時間-30% ﾀﾞﾒｰｼﾞ反射+10% 防御時、確率でHP回復
1548	6	聖法衣	20.0	光魔法威力+10% ﾋｰﾙ回復+20% MATK+7% 闇耐性+3% 魔法耐性+10% ﾍｲﾄ増加-10% 防御時、確率で魔法反撃
1635	7	エンゼルリング	10.0	光魔法威力+3% MATK+15% ﾋｰﾙ回復+10% 攻撃時、確率で魔法攻撃
1672	7	黎明の光背	15.0	闇耐性+7% 火・光魔法威力+10% INT+5 ﾋｰﾙ回復+15% 自然回復+20% ﾍﾟｯﾄﾋｰﾙ回復+300
1673	7	黎明の光背(強化版)	25.0	闇耐性+12% 火・光魔法威力+16% INT+10 ﾋｰﾙ回復+25% 自然回復+20% ﾍﾟｯﾄﾋｰﾙ回復+800
1694	7	優麗の冠	10.0	AGI+5 CRT+2 回避+15% ﾋｰﾙ回復+10% ﾍｲﾄ増加-15%
1695	7	ベネフィース	17.0	ﾋｰﾙ回復+17% 攻撃時、確率で魔法攻撃 Lv250未満だと反動ﾀﾞﾒｰｼﾞ+30%
1696	7	ベネフィース(強化版)	19.0	ﾋｰﾙ回復+19% 攻撃時、確率で魔法攻撃 Lv250未満だと反動ﾀﾞﾒｰｼﾞ+30%
1704	7	司祭の帽子	10.0	ﾋｰﾙ回復+10% MDEF+8%
1705	7	司祭の帽子(強化版)	13.0	ﾋｰﾙ回復+13% MDEF+10% ﾍｲﾄ増加-5% 光魔法威力+5%
1706	7	司祭の帽子(再強化版)	15.0	ﾋｰﾙ回復+15% MDEF+11% ﾍｲﾄ増加-12% 光魔法威力+7%
1851	7	デュウルプランツ	17.0	光耐性+10% ﾋｰﾙ回復+17%  ﾋｰﾙ受け+13% 防御時、確率でHP回復
1852	7	デュウルプランツ (強化版)	25.0	光耐性+15% ﾋｰﾙ回復+25%  ﾋｰﾙ受け+20% 闇属性に物理+5% 防御時、確率でHP回復
1918	7	ファーマーベルト	12.0	ｱｲﾃﾑ回復+10% ﾋｰﾙ回復+12% ﾍｲﾄ増加-5% DEF+100 CRT+8
1919	7	ファーマーベルト(強化版)	14.0	ｱｲﾃﾑ回復+12% ﾋｰﾙ回復+14% DEF+100 CRT+10 ﾍｲﾄ増加-10%
1920	7	ファーマーベルト (再強化版)	25.0	ｱｲﾃﾑ回復+25% ﾋｰﾙ回復+25% DEF+200 CRT+20 ﾍｲﾄ増加-10% MP自然回復+50
1938	7	キツネの襟巻き	10.0	ﾋｰﾙ回復+10% AGI+5 MP自然回復+10 ｵｰﾄｽｷﾙ発動+3%
1939	7	キツネの襟巻き(強化版)	20.0	ﾋｰﾙ回復+20% AGI+8 MP自然回復+30 物理耐性+3% 絶対回避+5% ｵｰﾄｽｷﾙ発動+5%
1940	7	キツネの襟巻き(再強化版)	25.0	ﾋｰﾙ回復+25% AGI+15 MP自然回復+30 物理耐性+3% 絶対回避+8% ｵｰﾄｽｷﾙ発動+7%
1959	7	グラスティアラ	10.0	ﾋｰﾙ回復+10% DEX+5 HP自然回復+100 ｵｰﾄｽｷﾙ発動+3%
2099	7	リーベテイル	12.0	射程+1 ﾍｲﾄ増加-30% ﾋｰﾙ回復+12% 火・水耐性-5%
2135	7	狂わしい帽子	15.0	ATK+10% ｵｰﾄｽｷﾙ発動+5% ﾋｰﾙ回復+15% ｽﾍﾟﾙﾊﾞｰｽﾄ率+8% 無魔法威力+10% 絶対・魔法回避-20%
2192	7	ノエルアーラ	28.0	闇耐性+10% 光魔法威力+5% ﾋｰﾙ回復+28% 詠唱防御+12% ﾎﾞｽに魔法+1% 移動速度+3% 物理耐性-10%
2196	7	めんこめんちゃん	16.0	火・水耐性+8% MATK+8% 割合軽減+8% ﾋｰﾙ回復+16% MP消費+8%
2218	7	不死鳥の羽飾り	15.0	火魔法威力+12% MaxHP+15% ﾋｰﾙ回復+15% 自然回復+30% 力尽きた時、5%の確率でHPを回復
2284	7	赤い髪留めF	15.0	ｱｲﾃﾑ回復+15% ﾋｰﾙ回復+15%
2315	7	ルトラヘルム	15.0	MaxHP+1000 ｱｲﾃﾑ回復+15% ﾍｲﾄ増加-10% ﾋｰﾙ回復+15% INT200以上ならMATK+10%
